ID,Ebene,Struktur,Block,Feld,Text,Neu/Kommentar
m-league/b1/body,3,        · Fließtext,fbox,body,Change a court or add a break halfway through and TournaQ only re-times what has not been played. Recorded times of finished matches are never rewritten.,
m-elimination/title,1,Eliminations,page,title,Eliminations,
m-elimination/eyebrow,2,    · Eyebrow,page,eyebrow,Team competition,
m-elimination/h1,2,    · Überschrift,page,h1,Eliminations,
m-elimination/lead,2,    · Lead,page,lead,"A plain knockout. Two flavours, depending on how harsh you want the first loss to be.",
m-elimination/b0/badge,2,    ▸ Panel: Two variants,panel,badge,Two variants,
m-elimination/b0/i0/label,3,        • Single elimination,item,label,Single elimination,
m-elimination/b0/i0/cap,4,            · Lose once and you are out. Shortest possible format.,item,cap,Lose once and you are out. Shortest possible format.,
m-elimination/b0/i1/label,3,        • Double elimination,item,label,Double elimination,
m-elimination/b0/i1/cap,4,            · A loss drops you into the lower bracket. Lose twice and you are out.,item,cap,A loss drops you into the lower bracket. Lose twice and you are out.,
m-elimination/b1/title,2,    ▸ Box: Seeding,fbox,title,Seeding,
m-elimination/b1/body,3,        · Fließtext,fbox,body,Seed the bracket or let TournaQ draw it. Either way the tree is built for you and results advance automatically.,
m-elimination/b2/title,2,"    ▸ Box: Read it as a bracket, not a list",fbox,title,"Read it as a bracket, not a list",
m-elimination/b2/body,3,        · Fließtext,fbox,body,Eliminations come with a zoomable bracket canvas — the actual tree — alongside the plain match list.,
m-classic/title,1,TournaQ Classic,page,title,TournaQ Classic,
m-classic/eyebrow,2,    · Eyebrow,page,eyebrow,Team competition,
m-classic/h1,2,    · Überschrift,page,h1,TournaQ Classic,
m-classic/lead,2,    · Lead,page,lead,"The full tournament day: a qualification phase first, then knockout tiers assigned by how you did in it.",
m-classic/b0/badge,2,    ▸ Panel: How it runs,panel,badge,How it runs,
m-classic/b0/i0/label,3,        • Groups drawn,step,label,Groups drawn,
m-classic/b0/i0/cap,4,            · Teams split into groups for the qualification phase.,step,cap,Teams split into groups for the qualification phase.,
m-classic/b0/i1/label,3,        • Group stage,step,label,Group stage,
m-classic/b0/i1/cap,4,            · Round robin inside each group.,step,cap,Round robin inside each group.,
m-classic/b0/i2/label,3,        • Tier assignment,step,label,Tier assignment,
m-classic/b0/i2/cap,4,"            · Where you finish decides which knockout tier you enter — everybody keeps playing, not just the top half.",step,cap,"Where you finish decides which knockout tier you enter — everybody keeps playing, not just the top half.",
m-classic/b0/i3/label,3,        • Knockout,step,label,Knockout,
m-classic/b0/i3/cap,4,            · Tiers play out to their own finals.,step,cap,Tiers play out to their own finals.,
m-classic/b1/title,2,    ▸ Box: Why tiers,fbox,title,Why tiers,
m-classic/b1/body,3,        · Fließtext,fbox,body,Nobody drives an hour to play two games and go home. Tiers keep every team in a competition they can still win.,
m-swiss/title,1,Swiss System,page,title,Swiss System,
m-swiss/eyebrow,2,    · Eyebrow,page,eyebrow,Team competition,
m-swiss/h1,2,    · Überschrift,page,h1,Swiss System,
m-swiss/lead,2,    · Lead,page,lead,"Paired each round against someone on the same score as you. No eliminations, a full schedule for everybody, and the field sorts itself.",
m-swiss/b0/badge,2,    ▸ Panel: How it runs,panel,badge,How it runs,
m-swiss/b0/i0/label,3,        • Round 1 drawn,step,label,Round 1 drawn,
m-swiss/b0/i0/cap,4,"            · Pairings from the seeding, or at random.",step,cap,"Pairings from the seeding, or at random.",
m-swiss/b0/i1/label,3,        • Then: like against like,step,label,Then: like against like,
m-swiss/b0/i1/cap,4,"            · Every following round pairs teams by current score, so games stay close.",step,cap,"Every following round pairs teams by current score, so games stay close.",
m-swiss/b0/i2/label,3,        • As many rounds as you want,step,label,As many rounds as you want,
m-swiss/b0/i2/cap,4,"            · Take the suggested number of games, or set your own.",step,cap,"Take the suggested number of games, or set your own.",
m-swiss/b0/i3/label,3,        • Standings decide,step,label,Standings decide,
m-swiss/b0/i3/cap,4,"            · No bracket, no knockout — the table at the end is the result.",step,cap,"No bracket, no knockout — the table at the end is the result.",
m-swiss/b1/title,2,    ▸ Box: Best when the field is large,fbox,title,Best when the field is large,
m-swiss/b1/body,3,        · Fließtext,fbox,body,Swiss gets a fair ranking out of many teams in far fewer games than a full round robin would take.,
scrambles/title,1,Scramble Competitions,page,title,Scramble Competitions,
scrambles/eyebrow,2,    · Eyebrow,page,eyebrow,Competition family,
scrambles/h1,2,    · Überschrift,page,h1,Scramble Competitions,
scrambles/lead,2,    · Lead,page,lead,"Nobody needs a partner to enter. Every mode here has the same job — get as many people playing with as many different people as possible. What changes is how TournaQ gets you there, and every result is yours alone.",
scrambles/b0,2,    ▸ Karten-Grid,grid,grid,(2 Karten),
scrambles/b0/c0/label,3,        • Classic Modes,card,label,Classic Modes,
scrambles/b0/c0/cap,4,"            · Every court plays at once for a fixed round, then the whole field is redrawn.",card,cap,"Every court plays at once for a fixed round, then the whole field is redrawn.",
scrambles/b0/c1/label,3,        • Queue Modes,card,label,Queue Modes,
scrambles/b0/c1/cap,4,            · Earn your spot on court and hold it. Challengers rotate through.,card,cap,Earn your spot on court and hold it. Challengers rotate through.,
scrambles/b1/title,2,    ▸ Box: Fair by design,fbox,title,Fair by design,
scrambles/b1/body,3,        · Fließtext,fbox,body,"Both families balance court time rather than leaving it to the draw. Whoever has played least goes on next, and sitting out rotates — so the standings reflect how you played, not who you were drawn with.",
scrambles/b2/title,2,    ▸ Box: And people can arrive late or leave early,fbox,title,And people can arrive late or leave early,
scrambles/b2/l0/title,3,        • Add a player mid-session without breaking the queue,fbox-line,title,Add a player mid-session without breaking the queue,
scrambles/b2/l1/title,3,        • Pause somebody for a round — a stand-in takes the seat,fbox-line,title,Pause somebody for a round — a stand-in takes the seat,
scrambles/b2/l2/title,3,        • Rankings stay comparable across everyone,fbox-line,title,Rankings stay comparable across everyone,
classic-modes/title,1,Classic Modes,page,title,Classic Modes,
classic-modes/eyebrow,2,    · Eyebrow,page,eyebrow,Mode family,
classic-modes/h1,2,    · Überschrift,page,h1,Classic Modes,
classic-modes/lead,2,    · Lead,page,lead,"The original way to scramble. Every court plays at the same time for a fixed round, then the system redraws the whole field into new teams and does it again.",
classic-modes/b0/badge,2,    ▸ Panel: The two settings that matter most,panel,badge,The two settings that matter most,
classic-modes/b0/sub,3,        · Unterzeile,panel,sub,Everything else has a sensible default.,
classic-modes/b0/i0/label,3,        • Players,item,label,Players,
classic-modes/b0/i0/cap,4,            · Who is in the pool. Add or pause them at any point during the session.,item,cap,Who is in the pool. Add or pause them at any point during the session.,
classic-modes/b0/i1/label,3,        • Rounds,item,label,Rounds,
classic-modes/b0/i1/cap,4,"            · How many, and how long each one runs. That is your session length.",item,cap,"How many, and how long each one runs. That is your session length.",
classic-modes/b1/title,2,"    ▸ Box: What ""fairly"" means here",fbox,title,"What ""fairly"" means here",
classic-modes/b1/body,3,        · Fließtext,fbox,body,"TournaQ maximises how many different people you meet while keeping wait times even. When not everybody fits on court at once, the sitting-out rotation is balanced so nobody waits longer than anyone else.",
classic-modes/b2/label,2,    ── Abschnitt: The mode,sect,label,The mode,
classic-modes/b3,2,    ▸ Karten-Grid,grid,grid,(1 Karten),
classic-modes/b3/c0/label,3,        • Social Scramble,card,label,Social Scramble,
classic-modes/b3/c0/cap,4,"            · Teams redrawn every round, all courts play at once, wins add up.",card,cap,"Teams redrawn every round, all courts play at once, wins add up.",
m-social-scramble/title,1,Social Scramble,page,title,Social Scramble,
m-social-scramble/eyebrow,2,    · Eyebrow,page,eyebrow,Classic mode,
m-social-scramble/h1,2,    · Überschrift,page,h1,Social Scramble,
m-social-scramble/lead,2,    · Lead,page,lead,"A timed, rotating mixer where teams are redrawn every round. Nobody stays partnered for long — the whole point is to play with and against as many different people as possible.",
m-social-scramble/b0/badge,2,    ▸ Panel: How a round works,panel,badge,How a round works,
m-social-scramble/b0/i0/label,3,        • Teams are drawn,step,label,Teams are drawn,
m-social-scramble/b0/i0/cap,4,"            · Randomly, at the start of every round.",step,cap,"Randomly, at the start of every round.",
m-social-scramble/b0/i1/label,3,        • All courts play at once,step,label,All courts play at once,
m-social-scramble/b0/i1/cap,4,            · For the set match duration.,step,cap,For the set match duration.,
m-social-scramble/b0/i2/label,3,"        • Time, then a short break",step,label,"Time, then a short break",
m-social-scramble/b0/i2/cap,4,            · Before the next round is drawn.,step,cap,Before the next round is drawn.,
m-social-scramble/b0/i3/label,3,        • Wins accumulate,step,label,Wins accumulate,
m-social-scramble/b0/i3/cap,4,"            · Cumulative across all rounds — the standings are yours, not your team’s.",step,cap,"Cumulative across all rounds — the standings are yours, not your team’s.",
m-social-scramble/b1/title,2,    ▸ Box: Fair by design,fbox,title,Fair by design,
m-social-scramble/b1/body,3,        · Fließtext,fbox,body,"TournaQ schedules every player into the maximum number of rounds while keeping wait times as short as possible. When not everyone fits on court, sitting-out rotations are balanced so no player waits longer than others.",
m-social-scramble/b2/title,2,    ▸ Box: Good for,fbox,title,Good for,
m-social-scramble/b2/body,3,        · Fließtext,fbox,body,"Beach sessions, open days, and any group that wants competitive play without the pressure of a fixed bracket.",
queue-modes/title,1,Queue Modes,page,title,Queue Modes,
queue-modes/eyebrow,2,    · Eyebrow,page,eyebrow,Mode family,
queue-modes/h1,2,    · Überschrift,page,h1,Queue Modes,
queue-modes/lead,2,    · Lead,page,lead,"Earn your spot, win strikes or escape — while challengers always rotate. Three modes share one engine, and three settings decide how it feels.",
queue-modes/b0/label,2,    ── Abschnitt: Setting 1 · Who assigns the challengers,sect,label,Setting 1 · Who assigns the challengers,
queue-modes/b1/badge,2,    ▸ Panel: Assignment,panel,badge,Assignment,
queue-modes/b1/i0/label,3,        • Manual,item,label,Manual,
queue-modes/b1/i0/cap,4,            · An admin assigns the challengers. Winners move onto the court automatically.,item,cap,An admin assigns the challengers. Winners move onto the court automatically.,
queue-modes/b1/i1/label,3,        • Automated,item,label,Automated,
queue-modes/b1/i1/cap,4,            · The system works out the queue. An admin orchestrates the game but stays off court.,item,cap,The system works out the queue. An admin orchestrates the game but stays off court.,
queue-modes/b1/i2/label,3,        • Auto Allplay,item,label,Auto Allplay,
queue-modes/b1/i2/cap,4,"            · The system works out the queue, and the admins rotate in and play too.",item,cap,"The system works out the queue, and the admins rotate in and play too.",
queue-modes/b2/label,2,    ── Abschnitt: Setting 2 · What happens with an odd player,sect,label,Setting 2 · What happens with an odd player,
queue-modes/b3/badge,2,    ▸ Panel: Odd player handling,panel,badge,Odd player handling,
queue-modes/b3/i0/label,3,        • Placeholder,item,label,Placeholder,
queue-modes/b3/i0/cap,4,            · Any available player joins the short team.,item,cap,Any available player joins the short team.,
queue-modes/b3/i1/label,3,        • Jumper,item,label,Jumper,
queue-modes/b3/i1/cap,4,            · Available players rotate fairly through the round to fill the short team.,item,cap,Available players rotate fairly through the round to fill the short team.,
queue-modes/b4/label,2,    ── Abschnitt: Setting 3 · What the table is sorted by,sect,label,Setting 3 · What the table is sorted by,
queue-modes/b5/badge,2,    ▸ Panel: Standings,panel,badge,Standings,
queue-modes/b5/i0/label,3,        • Ranking points,item,label,Ranking points,
queue-modes/b5/i0/cap,4,            · Equalised points awarded by where you placed on your court each round. Score at least once and you earn at least one.,item,cap,Equalised points awarded by where you placed on your court each round. Score at least once and you earn at least one.,
queue-modes/b5/i1/label,3,        • Strikes / escapes,item,label,Strikes / escapes,
queue-modes/b5/i1/cap,4,"            · The actual games won, round by round.",item,cap,"The actual games won, round by round.",
queue-modes/b5/i2/label,3,        • Points,item,label,Points,
queue-modes/b5/i2/cap,4,"            · The actual points won while on court, round by round.",item,cap,"The actual points won while on court, round by round.",
queue-modes/b6/label,2,    ── Abschnitt: The three modes,sect,label,The three modes,
queue-modes/b7,2,    ▸ Karten-Grid,grid,grid,(3 Karten),
queue-modes/b7/c0/label,3,        • Scramble King,card,label,Scramble King,
queue-modes/b7/c0/cap,4,"            · A partner for the round, then everything reshuffles.",card,cap,"A partner for the round, then everything reshuffles.",
queue-modes/b7/c1/label,3,        • King of the Court,card,label,King of the Court,
queue-modes/b7/c1/cap,4,            · A new partner every stint. Win games by scoring strikes.,card,cap,A new partner every stint. Win games by scoring strikes.,
queue-modes/b7/c2/label,3,        • Doghouse,card,label,Doghouse,
queue-modes/b7/c2/cap,4,"            · Score a side-out to escape. Concede, and you start over.",card,cap,"Score a side-out to escape. Concede, and you start over.",
queue-modes/b8/title,2,    ▸ Box: How many courts you can run,fbox,title,How many courts you can run,
queue-modes/b8/body,3,        · Fließtext,fbox,body,"Queue modes honour the court count you set, down to a minimum number of players per court. If the roster cannot fill them, TournaQ blocks the court rather than running a broken queue.",
m-scramble-king/title,1,Scramble King,page,title,Scramble King,
m-scramble-king/eyebrow,2,    · Eyebrow,page,eyebrow,Queue mode,
m-scramble-king/h1,2,    · Überschrift,page,h1,Scramble King,
m-scramble-king/lead,2,    · Lead,page,lead,"King of the court, played as a scramble. You get a partner for the round, hold the court as long as you can win, and then the whole field reshuffles.",
m-scramble-king/b0/badge,2,    ▸ Panel: How it works,panel,badge,How it works,
m-scramble-king/b0/i0/label,3,        • Partners drawn for the round,step,label,Partners drawn for the round,
m-scramble-king/b0/i0/cap,4,            · Your partner is fixed for the round — and different in the next one.,step,cap,Your partner is fixed for the round — and different in the next one.,
m-scramble-king/b0/i1/label,3,        • Hold the court,step,label,Hold the court,
m-scramble-king/b0/i1/cap,4,            · Win and you stay. Lose and you go back to the queue.,step,cap,Win and you stay. Lose and you go back to the queue.,
m-scramble-king/b0/i2/label,3,        • The round ends on the clock,step,label,The round ends on the clock,
m-scramble-king/b0/i2/cap,4,            · Then the field is scrambled again.,step,cap,Then the field is scrambled again.,
m-scramble-king/b0/i3/label,3,        • Individual standings,step,label,Individual standings,
m-scramble-king/b0/i3/cap,4,"            · Every point and every game is credited to you, not to the pairing.",step,cap,"Every point and every game is credited to you, not to the pairing.",
m-scramble-king/b1/title,2,    ▸ Box: Referees rotate independently,fbox,title,Referees rotate independently,
m-scramble-king/b1/body,3,        · Fließtext,fbox,body,"Whoever is off court can be suggested as referee, drawn fairly and independently of the partner rotation — it does not depend on there being an odd player.",
m-scramble-king/b2/title,2,    ▸ Note: Draft note · which wording is right?,note,title,Draft note · which wording is right?,
m-scramble-king/b2/body,3,        · Notiztext,note,body,"The source diagrams disagree: one says “<b>a new partner every round</b>”, the other “<b>a fixed partner for 1 round</b>”. The draft assumes these describe the same thing from two sides — <b>fixed within the round, new in the next</b> — and words it that way. Confirm before this ships.",
m-kotc/title,1,King of the Court,page,title,King of the Court,
m-kotc/eyebrow,2,    · Eyebrow,page,eyebrow,Queue mode,
m-kotc/h1,2,    · Überschrift,page,h1,King of the Court,
m-kotc/lead,2,    · Lead,page,lead,"An individual competition across as many courts as you have. Every player queues for themselves — when your turn comes you are paired with whoever is next, so your partner changes constantly and every point, game and ranking point is yours alone.",
m-kotc/b0/badge,2,    ▸ Panel: How a game works,panel,badge,How a game works,
m-kotc/b0/i0/label,3,        • Win a rally,item,label,Win a rally,
m-kotc/b0/i0/cap,4,            · Your side scores a point.,item,cap,Your side scores a point.,
m-kotc/b0/i1/label,3,        • Reach the strike points target,item,label,Reach the strike points target,
m-kotc/b0/i1/cap,4,            · Your side wins the game and rotates off.,item,cap,Your side wins the game and rotates off.,
m-kotc/b0/i2/label,3,        • Or the organiser ejects a side,item,label,Or the organiser ejects a side,
m-kotc/b0/i2/cap,4,            · At any time. Points stand as scored.,item,cap,At any time. Points stand as scored.,
m-kotc/b0/i3/label,3,        • Ranking points by placement,item,label,Ranking points by placement,
m-kotc/b0/i3/cap,4,            · Awarded by where you finished on your court that round. Score at least one point and you earn at least one.,item,cap,Awarded by where you finished on your court that round. Score at least one point and you earn at least one.,
m-kotc/b1/title,2,    ▸ Box: How the rounds run,fbox,title,How the rounds run,
m-kotc/b1/body,3,        · Fließtext,fbox,body,"Each round mixes the whole pool into fresh courts, and within a court players cycle on and off as they win or lose. Only the side currently on court can score. When the round timer runs out, everyone is mixed again.",
m-kotc/b2/title,2,    ▸ Box: Fair by design,fbox,title,Fair by design,
m-kotc/b2/body,3,        · Fließtext,fbox,body,"The queue always draws from the players with the least court time, so everybody plays about the same amount — and because partners keep changing, the standings reflect how you played, not who you were drawn with.",
m-doghouse/title,1,Doghouse,page,title,Doghouse,
m-doghouse/eyebrow,2,    · Eyebrow,page,eyebrow,Queue mode,
m-doghouse/h1,2,    · Überschrift,page,h1,Doghouse,
m-doghouse/lead,2,    · Lead,page,lead,"The same queue, with a crueller rule. The side in the doghouse scores side-outs to escape — and one lost rally sends the count back to zero.",
m-doghouse/b0/badge,2,    ▸ Panel: How a game works,panel,badge,How a game works,
m-doghouse/b0/i0/label,3,        • Win a rally,item,label,Win a rally,
m-doghouse/b0/i0/cap,4,            · Score a side-out.,item,cap,Score a side-out.,
m-doghouse/b0/i1/label,3,        • Lose a rally,item,label,Lose a rally,
m-doghouse/b0/i1/cap,4,            · Game lost — and the side-out count resets to zero.,item,cap,Game lost — and the side-out count resets to zero.,
m-doghouse/b0/i2/label,3,        • Reach your escape points target,item,label,Reach your escape points target,
m-doghouse/b0/i2/cap,4,"            · Escaped. Back to the queue, with the win.",item,cap,"Escaped. Back to the queue, with the win.",
m-doghouse/b0/i3/label,3,        • Hit the loss limit,item,label,Hit the loss limit,
m-doghouse/b0/i3/cap,4,            · Ejected. The next players step in.,item,cap,Ejected. The next players step in.,
m-doghouse/b0/i4/label,3,        • Ranking points by placement,item,label,Ranking points by placement,
m-doghouse/b0/i4/cap,4,            · Score at least one side-out and you earn at least one ranking point.,item,cap,Score at least one side-out and you earn at least one ranking point.,
m-doghouse/b1/title,2,    ▸ Box: How the rounds run,fbox,title,How the rounds run,
m-doghouse/b1/body,3,        · Fließtext,fbox,body,"Each round mixes the whole pool into fresh courts, and within a court players cycle on and off. When the round timer runs out, everyone is mixed again.",
m-doghouse/b2/title,2,    ▸ Box: Fair by design,fbox,title,Fair by design,
m-doghouse/b2/body,3,        · Fließtext,fbox,body,"The queue always draws from the players with the least court time, so everybody plays about the same amount.",
