Seite,Abschnitt,Einstellung,Werte / Presets,Default,Grenzen,Bedingungen & Warnungen,Wofür,Hilfetext in der App (wörtlich)
6 · Setting up a Royal Rotation,6.1 Tournament Setup,Auto-eject challenger,"Zahlenfeld, Presets 0, 1, 2, 3",0 (aus),0 bis 3,0 schaltet es ab; manuelles Ablösen bleibt immer möglich,"Fordert zum Auswechseln des Herausforderer-Teams auf, sobald es so viele Punkte kassiert hat","""Prompts you to eject the challenger team once the on-court team scores this many points against them. With automatic assignment, confirming brings the next team on; with manual assignment you eject them yourself. 0 keeps it off — you can still eject by hand anytime."""
7 · Setting up a King of the Court,7.1 Tournament Setup,Target Players,"Zahlenfeld, Presets 6, 8, 12, 16, 20, 24, 32",12,1 bis 128,"Beim Unterschreiten des Modus-Bodens Fußnote: ""Auto-Allplay works with fewer players, but rotation may feel clunky below {count} players.""",Geplante Teilnehmerzahl; steuert Zufalls-Auffüllen und die Plausibilitätsprüfung,"""How many players you plan to have. Used to size the 'fill random' quick-add and to check your court/round settings make sense."""
7 · Setting up a King of the Court,7.1 Tournament Setup,Courts,"Zahlenfeld, Presets 1, 2, 3, 4, 5, 6, 8",2,1 bis 8,"Blockierende Meldung, wenn der Pool die Felder nicht füllt",Wie viele unabhängige Warteschlangen gleichzeitig laufen,"""How many courts run at once, each with its own independent King of the Court queue for the round."""
7 · Setting up a King of the Court,7.1 Tournament Setup,Style,2vs2 bis 6vs6,2vs2,2 bis 6 je Seite,Hebt den Spielerboden je Feld; die geplante Spielerzahl bleibt stehen und wird nur neu geprüft,Mannschaftsgröße je Seite,"""The format of each game — 2vs2, 3vs3, and so on. Sets how many players make up each team on court."""
7 · Setting up a King of the Court,7.1 Tournament Setup,Rounds,"Zahlenfeld, Presets 2, 3, 4, 5, 6, 8, 10",4,1 bis 999,—,Wie oft der ganze Pool neu auf Felder verteilt wird,"""How many times the whole player pool gets mixed into new courts and teams."""
7 · Setting up a King of the Court,7.1 Tournament Setup,Match Duration,"Zahlenfeld, Presets 8, 10, 12, 15, 20, 25, 30 (min)",12 min,1 bis 999 min,muss größer als 0 sein,"Wie lange eine Runde läuft, bevor neu gemischt wird","""How long each round runs before everyone is reshuffled into new courts and teams."""
7 · Setting up a King of the Court,7.1 Tournament Setup,Break Between Rounds,"Zahlenfeld, Presets 0, 2, 3, 5, 7, 10 (min)",2 min,0 bis 999 min,—,Pause zwischen den Runden,—
7 · Setting up a King of the Court,7.1 Tournament Setup,Strike Points,"Zahlenfeld, Presets 0, 3, 5, 7, 10, 15, 21",5,0 bis 999,0 schaltet die automatische Ablösung ab,"Punktzahl, mit der ein Team gewinnt und das Feld als Sieger verlässt","""Points a team must score to win the game and be ejected as winners. Set to 0 to disable — teams stay on court until the coach manually ejects them."""
7 · Setting up a King of the Court,7.1 Tournament Setup,Assignment,"""Manual"" / ""Automated"" / ""Auto-Allplay""",Automated,—,"Boden je Feld: Manual und Automated 3 × Seitengröße, Auto-Allplay 4 × Seitengröße + 1. Fußnote nur bei Unterdeckung: ""{mode} needs at least {count} players per court.""",Wie das nächste Team aufs Feld kommt,"""How the next court team is chosen. Manual — the coach selects players from the queue by tapping them. Automated — TournaQ suggests the best team, prioritising players who have waited longest and haven't been paired together recently. The coach can re-roll before confirming. Automated — All Play — like Automated but no dedicated coach. A rotating referee keeps score while everyone else plays. TournaQ picks a random starting referee and suggests the next handoff from the ejected team after each game."""
7 · Setting up a King of the Court,7.1 Tournament Setup,Auto-eject challenger,"Zahlenfeld, Presets 0, 1, 2, 3",0 (aus),0 bis 3,0 schaltet es ab; manuelles Ablösen bleibt möglich,"Fordert zum Auswechseln des Herausforderer-Teams auf, sobald es so viele Punkte kassiert hat","""Prompts you to eject the challenger team once the on-court team scores this many points against them. With automatic assignment, confirming brings the next team on; with manual assignment you eject them yourself. 0 keeps it off — you can still eject by hand anytime."""
7 · Setting up a King of the Court,7.2 Suggestions — was die Seite von sich aus meldet,Fall: Zu wenige Runden,"Meldung in der App (wörtlich): ""At least 1 round is needed.""",Blockiert Create: ja,,,,
7 · Setting up a King of the Court,7.2 Suggestions — was die Seite von sich aus meldet,Fall: Runde ohne Dauer,"Meldung in der App (wörtlich): ""Round duration must be greater than zero.""",Blockiert Create: ja,,,,
7 · Setting up a King of the Court,7.2 Suggestions — was die Seite von sich aus meldet,Fall: Pool zu klein für ein Feld,"Meldung in der App (wörtlich): ""At least {min} players are needed for one court.""",Blockiert Create: ja,,,,
7 · Setting up a King of the Court,7.2 Suggestions — was die Seite von sich aus meldet,Fall: Pool zu klein für alle Felder,"Meldung in der App (wörtlich): ""{courts} courts need {needed} players at {min} each — you have {players}. Add players, use fewer courts, or switch off Auto All-Play.""",Blockiert Create: ja,,,,
7 · Setting up a King of the Court,7.2 Suggestions — was die Seite von sich aus meldet,Fall: Feld ohne Warteschlange,"Meldung in der App (wörtlich): ""A court has no waiting queue, so challenger rotation can't happen there. Add players for {min} per court."" bzw. ohne Auto-Eject: ""A court has no waiting queue. The same players stay on court all round. Add players for {min} per court.""",Blockiert Create: nein,,,,
7 · Setting up a King of the Court,7.2 Suggestions — was die Seite von sich aus meldet,Fall: Volle Abdeckung erreicht,"Meldung in der App (wörtlich): ""At {rounds} rounds every player shares a court with all {total} others.""",Blockiert Create: nein,,,,
7 · Setting up a King of the Court,7.2 Suggestions — was die Seite von sich aus meldet,Fall: Abdeckung ausbaufähig,"Meldung in der App (wörtlich): ""At {rounds} rounds each player shares a court with about {met} of the other {total}. {target} rounds makes it about {more}."" (mit Button ""Use {target} rounds"")",Blockiert Create: nein,,,,
7 · Setting up a King of the Court,7.2 Suggestions — was die Seite von sich aus meldet,Fall: Frische Partner,"Meldung in der App (wörtlich): ""No repeat partners at {rounds} rounds."" bzw. ""Fresh partners for at least the first {promised} rounds.""",Blockiert Create: nein,,,,
8 · Setting up a Royal Shuffle,8.1 Tournament Setup,Target Players,"Zahlenfeld, Presets 6, 8, 12, 16, 20, 24, 32",12,1 bis 128,"Fußnote unter dem Modus-Boden: ""Auto-Allplay works with fewer players, but rotation may feel clunky below {count} players.""",Geplante Teilnehmerzahl,"""How many players you plan to have. Used to size the 'fill random' quick-add and to check your court/round settings make sense."""
8 · Setting up a Royal Shuffle,8.1 Tournament Setup,Courts,"Zahlenfeld, Presets 1, 2, 3, 4, 5, 6, 8",2,1 bis 8,"Blockierende Meldung, wenn der Pool die Felder nicht füllt",Wie viele unabhängige Warteschlangen gleichzeitig laufen,"""How many courts run at once, each with its own independent King of the Court queue for the round."""
8 · Setting up a Royal Shuffle,8.1 Tournament Setup,Style,2vs2 bis 6vs6,2vs2,2 bis 6 je Seite,Hebt den Spielerboden je Feld,Mannschaftsgröße je Seite,"""The format of each game — 2vs2, 3vs3, and so on. Sets how many players make up each team on court."""
8 · Setting up a Royal Shuffle,8.1 Tournament Setup,Rounds,"Zahlenfeld, Presets 2, 3, 4, 5, 6, 8, 10",4,1 bis 999,—,Wie oft der ganze Pool neu verteilt wird,"""How many times the whole player pool gets mixed into new courts and teams."""
8 · Setting up a Royal Shuffle,8.1 Tournament Setup,Match Duration,"Zahlenfeld, Presets 8, 10, 12, 15, 20, 25, 30 (min)",12 min,1 bis 999 min,muss größer als 0 sein,Wie lange eine Runde läuft,"""How long each round runs before everyone is reshuffled into new courts and teams."""
8 · Setting up a Royal Shuffle,8.1 Tournament Setup,Break Between Rounds,"Zahlenfeld, Presets 0, 2, 3, 5, 7, 10 (min)",2 min,0 bis 999 min,—,Pause zwischen den Runden,—
8 · Setting up a Royal Shuffle,8.1 Tournament Setup,Escape Points,"Zahlenfeld, Presets 0, 2, 3, 4, 5, 7",3,0 bis 999,0 schaltet das automatische Entkommen ab,"Punkte, die das Doghouse-Team zum Entkommen braucht","""Points the doghouse team must score to escape. A point is earned each time the serving (doghouse) team wins a rally. The score resets to zero after each game lost."""
8 · Setting up a Royal Shuffle,8.1 Tournament Setup,Loss Limit,"Zahlenfeld, Presets 0, 2, 3, 4, 5",3,0 bis 999,0 schaltet die automatische Ablösung ab,"Wie viele Spiele das Doghouse-Team verlieren darf, bevor es ausgewechselt wird","""How many games the doghouse team can lose before being automatically ejected. Each time the court team wins a rally, one game is lost and the point score resets to zero."""
8 · Setting up a Royal Shuffle,8.1 Tournament Setup,Assignment,"""Manual"" / ""Automated"" / ""Auto-Allplay""",Automated,—,"Boden je Feld: Manual und Automated 3 × Seitengröße, Auto-Allplay 4 × Seitengröße + 1. Fußnote bei Unterdeckung: ""{mode} needs at least {count} players per court.""",Wie das nächste Team aufs Feld kommt,"""How the next court team is chosen. Manual — the coach selects players from the queue by tapping them. Automated — TournaQ suggests the best team, prioritising players who have waited longest and haven't been paired together recently. The coach can re-roll before confirming. Automated — All Play — like Automated but no dedicated coach. A rotating referee keeps score while everyone else plays. TournaQ picks a random starting referee and suggests the next handoff from the ejected team after each game."""
8 · Setting up a Royal Shuffle,8.1 Tournament Setup,Auto-eject challenger,"Zahlenfeld, Presets 0, 1, 2, 3",0 (aus),0 bis 3,0 schaltet es ab,"Fordert zum Auswechseln des Herausforderer-Teams auf, sobald es so viele Punkte kassiert hat","""Prompts you to eject the challenger team once the on-court team scores this many points against them. With automatic assignment, confirming brings the next team on; with manual assignment you eject them yourself. 0 keeps it off — you can still eject by hand anytime."""
